eps,alpha,B,dim,Deff
0.2,0.02,4,2,1.6044211155891235
0.2,0.01,2,3,1.7001061267046056
0.2,0.01,4,4,1.654948613675747
0.2,0.005,3,2,1.6221768560939185
0.2,0.02,2,5,1.663602037105882
0.2,0.02,4,2,1.5882261885025901
0.2,0.005,4,3,1.743682336958491
0.2,0.01,3,4,1.6388164109763539
0.2,0.01,2,3,1.6909748263837665
0.2,0.02,3,2,1.6942717361372652
0.2,0.01,4,5,1.492336179528772
0.2,0.005,3,2,1.6509917179557057
0.2,0.02,4,2,1.620371205467126
0.2,0.005,4,3,1.684862469612545
0.2,0.01,3,4,1.6892681020485443
0.2,0.02,3,2,1.5916390293474703
0.2,0.01,2,4,1.519702152905828
0.2,0.02,4,2,1.6502604669433405
0.2,0.005,3,3,1.7382226987405367
0.2,0.01,4,5,1.528784070547337
0.2,0.005,4,3,1.79406667375089
0.2,0.01,3,4,1.5939379252802814
0.2,0.02,3,2,1.6357805286443288
0.2,0.02,4,3,1.7235681124384024
0.2,0.01,2,4,1.5929840712787462
0.2,0.005,3,3,1.7138417897459646
0.2,0.01,4,5,1.5782117190162013
0.2,0.005,4,3,1.7224283285429411
0.2,0.01,3,5,1.5592613727163243
0.2,0.02,3,2,1.6283287239361937
0.2,0.02,4,3,1.741263040429378
0.2,0.01,2,4,1.6950142848546148
0.2,0.005,3,3,1.719210810274065
0.2,0.01,4,5,1.5445600600249332
0.2,0.02,3,2,1.608870946070443
0.2,0.005,4,4,1.6758315099318293
0.2,0.01,3,5,1.6240374991816713
0.2,0.02,4,3,1.777852306220704
0.2,0.005,3,3,1.738770084820964
0.2,0.01,2,4,1.606178070756498
0.2,0.01,4,5,1.5573240126049632
0.2,0.02,3,3,1.6842417514011667
0.2,0.005,4,4,1.7118439350660797
0.2,0.02,4,3,1.719652945168746
0.2,0.01,3,5,1.5949988114276163
0.2,0.02,2,2,1.5334691720200724
0.2,0.02,3,3,1.7172819701799915
0.2,0.005,3,3,1.6719604516490023
0.2,0.01,2,4,1.6909474882822384
0.2,0.02,4,3,1.7684036451306109
0.2,0.005,4,4,1.6906763483209737
0.2,0.01,3,5,1.5471572974849042
0.2,0.02,2,2,1.7236197704132976
0.2,0.02,3,3,1.7943913817779138
0.2,0.02,4,4,1.6712630688819692
0.2,0.005,3,4,1.6507822115347373
0.2,0.01,2,5,1.6421980716087143
0.2,0.005,4,4,1.736852809570219
0.2,0.01,3,5,1.5389283580380522
0.2,0.02,2,2,1.564770445994726
0.2,0.02,3,3,1.671494289156486
0.2,0.02,4,4,1.7160445855164965
0.2,0.005,3,4,1.6744276263526585
0.2,0.01,2,5,1.6702376085435928
0.2,0.005,4,4,1.6938399331249832
0.2,0.02,2,2,1.5919960664976918
0.2,0.02,3,3,1.7497350279434996
0.2,0.01,4,2,1.588555195413264
0.2,0.02,4,4,1.5265015434957028
0.2,0.005,3,4,1.590439074613881
0.2,0.02,2,2,1.6423225451272159
0.2,0.005,4,5,1.6368131200709006
0.2,0.01,2,5,1.6350148932597188
0.2,0.01,4,2,1.6309056244334459
0.2,0.005,3,4,1.6445145604240081
0.2,0.02,2,3,1.752002604526141
0.2,0.005,4,5,1.5878053730627155
0.2,0.01,2,5,1.6336622504453853
0.2,0.01,4,2,1.6276051384481391
0.2,0.02,2,3,1.782758447955924
0.2,0.005,3,4,1.6246143162065876
0.2,0.005,4,5,1.5795848547137
0.2,0.01,4,2,1.6883052764077655
0.2,0.01,2,5,1.6748420338373449
0.2,0.01,3,2,1.688601775301591
