eps,alpha,B,dim,Deff
0.02,0.02,4,5,0.832345147717609
0.02,0.005,2,4,1.3742440898394002
0.02,0.01,3,2,1.7073640910671573
0.02,0.01,4,3,1.683874330929926
0.02,0.005,3,5,0.8505922736294707
0.02,0.01,2,2,1.7061545119451813
0.02,0.02,2,4,1.1721905303203244
0.02,0.02,3,5,0.7529331299895184
0.02,0.02,4,5,0.8635000699935288
0.02,0.01,3,2,1.7162007699496968
0.02,0.005,2,5,1.3102239561779614
0.02,0.02,2,4,1.2932659948307268
0.02,0.01,4,3,1.7178595981538598
0.02,0.02,3,5,0.8515960808120058
0.02,0.02,4,5,0.7641748982170438
0.02,0.005,3,5,1.0566370998173724
0.02,0.01,2,2,1.6514425625335318
0.02,0.02,2,4,1.202062977548409
0.02,0.02,3,5,0.8614226991611275
0.02,0.01,3,3,1.7099332843672121
0.02,0.01,4,3,1.6823115498090362
0.02,0.005,2,5,0.9483099051394421
0.05,0.005,2,2,1.4524325580537119
0.02,0.01,2,2,1.705857219621211
0.02,0.005,3,5,1.2484787785235474
0.02,0.02,2,4,1.3754605021119264
0.02,0.02,3,5,0.8823976010322591
0.02,0.01,3,3,1.6288192200622629
0.02,0.01,4,3,1.623110304522965
0.02,0.005,2,5,1.2972492938659612
0.05,0.005,2,2,1.5078897716689583
0.02,0.01,2,2,1.6950206958445142
0.02,0.005,4,2,1.6889258661108786
0.02,0.02,2,4,1.2327244080668083
0.02,0.02,3,5,0.8739203169236424
0.02,0.01,3,3,1.658414106953212
0.02,0.01,4,4,1.2418295369085695
0.05,0.005,2,2,1.5296697811248838
0.02,0.005,2,5,1.2132797874002494
0.02,0.01,2,2,1.690810393407478
0.02,0.005,4,2,1.6843835101914177
0.02,0.02,4,2,1.7512937780442437
0.02,0.02,2,5,0.8100146936707306
0.02,0.01,3,3,1.7078123273699783
0.02,0.01,4,4,1.219631969754913
0.05,0.005,2,2,1.4231381370758265
0.02,0.005,2,5,1.2958849445769405
0.02,0.01,2,3,1.7008790589060148
0.02,0.005,4,2,1.6771848895703498
0.02,0.02,2,5,0.8092370747575068
0.05,0.005,2,2,1.4138465956519217
0.02,0.01,3,3,1.6963325227232982
0.02,0.01,4,4,1.1136784967601079
0.05,0.005,3,3,1.8187249290728489
0.02,0.005,3,2,1.688421931737346
0.02,0.005,4,2,1.6947235278508457
0.02,0.01,2,3,1.7198233788333583
0.02,0.02,2,5,0.8853682697497927
0.05,0.005,2,3,1.5886303032067255
0.02,0.01,3,4,1.224865529787141
0.02,0.01,4,4,1.1811301749794485
0.05,0.005,3,3,1.6421684419176774
0.02,0.005,3,2,1.6773979237438608
0.02,0.005,4,2,1.6632183507220135
0.02,0.01,2,3,1.6955663646350108
0.05,0.005,4,4,1.8546263531064682
0.05,0.005,2,3,1.6696504812996487
0.02,0.01,3,4,1.2552469777067863
0.02,0.01,4,4,1.2139138828601799
0.02,0.005,3,2,1.6475133182643835
0.05,0.005,3,3,1.8371161304115096
0.02,0.005,4,3,1.7074273357590597
0.02,0.01,2,3,1.7061703033458582
0.05,0.005,4,4,1.524919893651224
0.05,0.005,2,3,1.6755171474650157
0.05,0.01,2,4,1.472995915823142
0.05,0.02,3,2,1.7349257880489688
0.05,0.02,4,3,1.811138548189088
0.05,0.01,3,5,0.9751648005170548
0.05,0.005,3,4,1.5886947229801267
0.05,0.01,4,5,1.016992109831208
0.05,0.005,4,4,1.996965041935363
0.05,0.005,2,3,1.615060849467864
0.05,0.02,3,2,1.7197633554830185
0.05,0.02,4,3,1.7619832282388277
0.05,0.01,2,4,1.5398230820136876
0.05,0.02,2,2,1.7261524891686462
0.05,0.01,3,5,0.9399442148572998
0.05,0.005,3,4,1.4966065257244874
0.05,0.005,4,4,1.7655327067310704
0.05,0.005,2,3,1.575337573134158
0.05,0.02,3,2,1.7560625106595338
0.05,0.02,4,3,1.6754646059252136
0.05,0.02,2,2,1.7034904092543948
0.05,0.01,2,5,1.7768335671316429
0.05,0.01,3,5,1.080908096922065
0.05,0.005,3,4,1.5206664071924414
0.05,0.005,4,4,1.9386303935027105
0.05,0.02,3,3,1.6813585207461792
0.05,0.005,2,4,1.5487177333966287
0.05,0.02,4,3,1.7992048648670234
0.05,0.02,2,2,1.722007790486158
0.05,0.01,2,5,1.8675663894540304
0.05,0.005,3,4,1.4046860933086978
0.05,0.01,3,5,0.9377387901928983
0.05,0.02,3,3,1.929710987326472
0.05,0.02,4,3,1.7163779050732835
0.05,0.02,2,2,1.7367513982576679
0.05,0.005,4,5,1.1394141524835923
0.05,0.005,2,4,1.7125791916559419
0.05,0.01,2,5,1.2703153336464423
0.05,0.005,3,4,1.4426887481508908
0.05,0.01,4,2,1.683654887792923
0.05,0.02,3,3,1.6792089069663474
0.05,0.02,4,4,1.4178360183476881
0.05,0.02,2,2,1.7019760821525642
0.05,0.005,2,4,1.6360257961926903
0.05,0.005,4,5,1.2029718964704053
0.05,0.02,3,3,1.6524385274529192
0.05,0.01,2,5,1.9373327940203178
0.05,0.01,4,2,1.6920013747413758
0.05,0.02,4,4,1.2403639706564962
0.05,0.005,3,5,1.5535155601866297
0.05,0.02,2,3,1.7206031972217735
0.05,0.005,2,4,1.6743154832372937
0.05,0.005,4,5,1.3652017590022343
0.05,0.02,3,3,1.738835077454795
0.05,0.02,4,4,1.3881947581249467
0.05,0.02,2,3,1.7014907088158377
0.05,0.01,4,2,1.6773376607836712
0.05,0.01,2,5,1.6286375086324194
0.05,0.005,3,5,1.454132130731186
0.05,0.005,2,4,1.5738377082943935
0.05,0.02,3,4,1.3399528341177203
0.05,0.02,4,4,1.3886518443345506
0.05,0.02,2,3,1.8450976265979553
0.05,0.005,4,5,1.4247258792869568
0.05,0.01,4,2,1.6777458499432474
0.05,0.01,3,2,1.6809431734720301
0.05,0.005,3,5,1.5807328905359082
0.05,0.02,3,4,1.4090884781447393
0.05,0.02,4,4,1.3525085524190112
0.05,0.005,2,5,1.5830428684735756
0.05,0.02,2,3,1.7501049196547391
0.05,0.005,4,5,1.3851584240850494
0.05,0.01,4,2,1.7192440754958978
0.05,0.01,3,2,1.650873639727078
0.05,0.005,3,5,1.4930821273948636
0.05,0.02,3,4,1.2944452678240175
0.05,0.02,4,5,1.0615184733041694
0.05,0.02,2,3,1.8426842270087516
0.05,0.005,2,5,1.5462843087134144
0.05,0.01,2,2,1.6940956964921792
0.05,0.01,4,3,1.6668453476584613
0.05,0.01,3,2,1.702802755387749
0.05,0.02,3,4,1.499574787933018
0.05,0.005,3,5,1.5544470580084087
0.05,0.02,4,5,1.221286425257124
0.05,0.02,2,4,1.3621876364203742
0.05,0.005,2,5,1.5514605264009675
0.05,0.01,2,2,1.6872418748992628
0.05,0.01,4,3,1.7109184279274774
0.05,0.02,3,4,1.4396177917844368
0.05,0.01,3,2,1.6640818916099218
0.05,0.02,2,4,1.4774276947941445
0.05,0.02,4,5,0.9555866580146279
0.05,0.005,4,2,1.7156175829191418
0.05,0.005,2,5,1.5624607901466239
0.05,0.02,3,5,1.0931134848987598
0.05,0.01,4,3,1.6601742328290017
